time;P1_B2004;P1_B2016;P1_B3004;P1_B3005;P1_B4002;P1_B4005;P1_B400B;P1_B4022;P1_FCV01D;P1_FCV01Z;P1_FCV02D;P1_FCV02Z;P1_FCV03D;P1_FCV03Z;P1_FT01;P1_FT01Z;P1_FT02;P1_FT02Z;P1_FT03;P1_FT03Z;P1_LCV01D;P1_LCV01Z;P1_LIT01;P1_PCV01D;P1_PCV01Z;P1_PCV02D;P1_PCV02Z;P1_PIT01;P1_PIT02;P1_TIT01;P1_TIT02;P2_24Vdc;P2_Auto;P2_Emgy;P2_On;P2_SD01;P2_SIT01;P2_TripEx;P2_VT01e;P2_VXT02;P2_VXT03;P2_VYT02;P2_VYT03;P3_LCP01D;P3_LCV01D;P3_LH;P3_LL;P3_LT01;P4_HT_FD;P4_HT_LD;P4_HT_PO;P4_HT_PS;P4_LD;P4_ST_FD;P4_ST_LD;P4_ST_PO;P4_ST_PS;P4_ST_PT01;P4_ST_TT01;attack;attack_P1;attack_P2;attack_P3
2019-09-11 20:00:00;0.0983;1.0702;399.2321;1110.3986;32;0;28.9981;35.7395;0;0.2838;100;95.5215;53.785;55.0323;132.9803;711.2531;5.188;29.9914;312.0803;1112.1606;19.6892;19.2886;396.6266;35.21;36.3403;12;12.0102;1.0843;0.2084;36.0779;37.3596;28.0221;1;0;1;20;815;0;11.8983;-3.2879;-1.2942;0.2115;1.8135;1167;12767;70;10;28.9352;0.0005;64.4604;57.8704;0;395.0195;-0.0004;330.6568;328.9388;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:01;0.0983;1.0699;399.2321;1110.3986;32;0;29.9914;35.7388;0;0.2838;100;95.4529;53.6683;55.0323;130.31;692.3841;6.3324;27.0122;313.6062;1112.7983;19.6654;19.2886;396.6266;35.2091;36.3403;12;12.0102;1.0828;0.2138;36.0931;37.3596;28.0273;1;0;1;20;815;0;11.7277;-3.9746;-1.3099;1.0309;2.4783;1107;12911;70;10;28.9352;0.0005;64.7208;58.4853;0;398.3109;-0.0012;330.2228;329.3728;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:02;0.0983;1.0703;399.2321;1110.3986;32;0;27.0122;35.7399;0;0.2914;100;95.4529;53.6083;55.0323;134.6969;678.4808;5.9509;32.9705;314.1784;1115.3496;19.5671;19.2886;396.7288;35.2089;36.3403;12;12.0102;1.0828;0.213;36.0779;37.3596;28.0204;1;0;1;20;815;0;11.8771;-3.7231;-1.5391;-0.121;1.8652;1054;13040;70;10;28.9352;0.0005;64.945;59.2629;0;397.8768;0.0018;332.0493;329.7526;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:03;0.0983;1.0719;399.2321;1110.3986;32;0;32.9705;35.7452;0;0.2762;100;95.4605;53.3569;55.0323;133.7433;701.322;5.5694;30.9843;317.421;1116.3064;19.5083;19.2886;396.5243;35.2043;36.3403;12;12.0178;1.0828;0.2168;36.0779;37.3749;28.0229;1;0;1;20;815;0;11.7834;-3.4106;-1.0968;0.9757;2.2082;1004;13162;70;10;28.9352;0.0005;65.162;59.8235;0;398.6364;0.0033;331.5249;331.0547;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:04;0.0983;1.071;399.2321;1110.3986;32;0;30.9843;35.7422;0;0.2838;100;95.4605;53.5795;55.0323;131.8359;696.3565;6.1417;28.9981;313.6062;1121.7279;19.3095;19.2886;396.6266;35.2065;36.3403;12;12.0102;1.082;0.2176;36.0931;37.3444;28.0221;1;0;1;20;815;0;11.7941;-4.2313;-1.6342;0.2282;2.2203;953;13281;70;10;28.9352;0.0005;65.4369;60.3118;0;401.2406;0.0015;333.1706;331.1631;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:05;0.0983;1.0737;399.2321;1110.3986;32;0;28.9981;35.7513;0;0.2838;100;95.4681;53.5999;55.0323;136.9858;686.4258;6.3324;31.9776;313.0341;1115.3496;19.5338;19.2886;396.4732;35.2002;36.3403;12;12.0102;1.0843;0.2138;36.0779;37.3596;28.0221;1;0;1;20;814;0;11.8591;-3.1949;-1.1549;0.5467;1.9379;908;13389;70;10;28.9352;0.0003;65.6395;60.8543;0;400.7523;0.0022;334.5269;331.8866;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:06;0.0983;1.0753;399.2321;1110.3986;32;0;31.9776;35.7567;0;0.2838;100;95.4453;53.7312;54.5898;128.7842;713.2393;7.286;32.9705;310.936;1114.3929;19.5986;19.2886;396.5243;35.1971;36.3403;12;12.0102;1.0828;0.2145;36.0626;37.3444;28.0273;1;0;1;20;814;0;11.7224;-4.2382;-1.4738;0.8162;2.4922;864;13489;70;10;28.9352;0.0003;65.8492;61.2703;0;402.5608;-0.0004;334.762;332.0674;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:07;0.0983;1.0785;399.2321;1110.3986;32;0;32.9705;35.7674;0;0.2838;100;95.5444;53.6623;54.2236;134.6969;670.5364;5.5694;37.9359;311.8896;1110.885;19.7407;19.2886;396.5243;35.2082;36.3403;12;12.0102;1.082;0.2153;36.0779;37.3749;28.0282;1;0;1;20;814;0;11.9021;-3.424;-1.3932;0.0005;1.783;821;13593;70;10;28.9352;0.0003;66.0373;61.8851;0;402.1629;-0.0001;336.263;332.1759;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:08;0.0983;1.0796;399.2321;1110.3986;32;0;37.9359;35.7708;0;0.2838;100;95.5368;53.8281;54.2007;132.5988;701.322;5.9509;28.9981;309.4101;1112.4795;19.6908;19.2886;396.4221;35.2253;36.3403;12;12.0102;1.082;0.213;36.0779;37.3596;28.0307;1;0;1;20;814;0;11.7436;-3.739;-1.1917;1.0723;2.4099;781;13682;70;10;28.8773;0.0003;66.2182;62.2468;0;404.6043;-0.0009;335.5577;332.8994;50.9871;9973;27629;0;0;0;0
2019-09-11 20:00:09;0.0983;1.0801;399.2321;1110.3986;32;0;28.9981;35.7727;0;0.2838;100;95.4758;53.7962;54.2084;132.7896;690.3979;5.7602;30.9843;309.9823;1108.3336;19.8929;19.2886;396.4221;35.229;36.3403;12;12.0102;1.0843;0.2161;36.0779;37.3596;28.0273;1;0;1;20;815;0;11.8509;-3.9184;-1.6055;-0.0778;1.9755;743;13771;70;10;28.8773;0.0003;66.3846;62.6628;0;405.7255;-0.0037;337.0949;332.9897;50.9871;9973;27629;0;0;0;0
